,img,bank,card_name,point,category,each_spending
159,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ec/maybank-world-mastercard.jpg,maybank,maybank_world_mastercard,5.0,on all overseas retail expenses,1
160,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ec/maybank-world-mastercard.jpg,maybank,maybank_world_mastercard,5.0,on all local retail expenses,2
161,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e7/maybank-islamic-petronas-ikhwan-visa-gold-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_gold_card-i,1.0,"on education, utilities, insurance and 0% ezypay",1
162,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ea/maybank-islamic-ikhwan-visa-infinite-card-i.jpg,maybank,maybank_islamic_ikhwan_visa_infinite_card-i,5.0,on all overseas retail,1
163,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ea/maybank-islamic-ikhwan-visa-infinite-card-i.jpg,maybank,maybank_islamic_ikhwan_visa_infinite_card-i,2.0,on all local retail,1
164,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ea/maybank-islamic-ikhwan-visa-infinite-card-i.jpg,maybank,maybank_islamic_ikhwan_visa_infinite_card-i,1.0,"on petrol, utilities, education, insurance and ezypay instalment",1
165,https://ringgitplus.com/img/card-400/54feb7d0fd1ef36571cfff76/maybank-islamic-mastercard-ikhwan-gold-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_gold_card-i,1.0,on 0% ezypay,1
166,https://ringgitplus.com/img/card-400/54feb188bc1ea1de43cbd9eb/maybank-islamic-mastercard-ikhwan-platinum-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_platinum_card-i,1.0,on 0% eazypay,1
167,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ff/maybank-islamic-ikhwan-american-express-platinum-card-i.jpg,maybank,maybank_islamic_ikhwan_american_express_platinum_card-i,2.0,on all retail,1
168,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000ff/maybank-islamic-ikhwan-american-express-platinum-card-i.jpg,maybank,maybank_islamic_ikhwan_american_express_platinum_card-i,1.0,"on petrol, utilities, education, insurance and ezypay instalment",1
169,https://ringgitplus.com/img/card-400/58e1b9f94069a6115d57cc53/public-bank-quantum-visa.jpg,public_bank,public_bank_quantum_visa,1.0,local retail transactions,1
170,https://ringgitplus.com/img/card-400/58e1b9f94069a6115d57cc53/public-bank-quantum-visa.jpg,public_bank,public_bank_quantum_visa,2.0,overseas retail transactions,1
171,https://ringgitplus.com/img/card-400/56d5232da05af65b5dced483/public-bank-world-mastercard-credit-card.jpg,public_bank,public_bank_world_mastercard_credit_card,3.0,on overseas retail,1
172,https://ringgitplus.com/img/card-400/56d5232da05af65b5dced483/public-bank-world-mastercard-credit-card.jpg,public_bank,public_bank_world_mastercard_credit_card,1.0,on local retail,1
173,https://ringgitplus.com/img/card-400/537eea2c06a589d1189a6e0c/public-bank-visa-signature.jpg,public_bank,public_bank_visa_signature,1.0,"on all retail spends (excluding dining, groceries, online purchases, casino, cash advance, balance transfer, utar, tarc, government and charity transactions, and payments via pbe online banking & atm)",1
174,https://ringgitplus.com/img/card-400/519489e2193821ed4a00011b/public-bank-platinum-mastercard.jpg,public_bank,public_bank_platinum_mastercard,1.0,on all retail spends,1
175,https://ringgitplus.com/img/card-400/58e1c10e6b5269dd048aeaeb/public-bank-quantum-mastercard.jpg,public_bank,public_bank_quantum_mastercard,1.0,local retail transactions,1
176,https://ringgitplus.com/img/card-400/58e1c10e6b5269dd048aeaeb/public-bank-quantum-mastercard.jpg,public_bank,public_bank_quantum_mastercard,2.0,overseas retail transactions,1
